bin_index,probability_lower,probability_upper,n_samples,n_positive,n_negative,mean_probability,observed_positive_rate,calibration_gap,abs_calibration_gap,prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split
2,0.2,0.30000000000000004,1430,54,1376,0.2396848858215873,0.03776223776223776,0.20192264805934956,0.20192264805934956,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
3,0.30000000000000004,0.4,644,21,623,0.34596574696444665,0.03260869565217391,0.31335705131227276,0.31335705131227276,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
4,0.4,0.5,409,11,398,0.44792506869119636,0.02689486552567237,0.421030203165524,0.421030203165524,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
5,0.5,0.6000000000000001,321,11,310,0.5465786427010977,0.03426791277258567,0.512310729928512,0.512310729928512,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,260,9,251,0.6502995160751819,0.03461538461538462,0.6156841314597973,0.6156841314597973,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
7,0.7000000000000001,0.8,217,5,212,0.7477465794370955,0.02304147465437788,0.7247051047827177,0.7247051047827177,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
8,0.8,0.9,23,0,23,0.8072974561088216,0.0,0.8072974561088216,0.8072974561088216,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
1,0.1,0.2,4872,171,4701,0.16137161380117682,0.035098522167487683,0.12627309163368913,0.12627309163368913,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
2,0.2,0.30000000000000004,1437,53,1384,0.24110156959775325,0.03688239387613083,0.20421917572162243,0.20421917572162243,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
3,0.30000000000000004,0.4,666,18,648,0.3485378670485665,0.02702702702702703,0.32151084002153946,0.32151084002153946,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
4,0.4,0.5,437,18,419,0.45059798104467325,0.041189931350114416,0.40940804969455885,0.40940804969455885,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
5,0.5,0.6000000000000001,366,8,358,0.5458826122776093,0.02185792349726776,0.5240246887803415,0.5240246887803415,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,297,11,286,0.6481220772341216,0.037037037037037035,0.6110850401970847,0.6110850401970847,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
7,0.7000000000000001,0.8,228,6,222,0.7454522013578124,0.02631578947368421,0.7191364118841282,0.7191364118841282,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
8,0.8,0.9,28,0,28,0.8102671657915703,0.0,0.8102671657915703,0.8102671657915703,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external
1,0.1,0.2,4012,135,3877,0.16643095451126091,0.033649052841475575,0.13278190166978535,0.13278190166978535,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
2,0.2,0.30000000000000004,1784,69,1715,0.2412275614342023,0.03867713004484305,0.20255043138935924,0.20255043138935924,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
3,0.30000000000000004,0.4,802,24,778,0.3455463461347182,0.029925187032418952,0.3156211591022992,0.3156211591022992,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
4,0.4,0.5,546,22,524,0.4465732365413984,0.040293040293040296,0.4062801962483581,0.4062801962483581,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
5,0.5,0.6000000000000001,430,13,417,0.5491147176156312,0.030232558139534883,0.5188821594760964,0.5188821594760964,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,438,18,420,0.6504394922524384,0.0410958904109589,0.6093436018414795,0.6093436018414795,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
7,0.7000000000000001,0.8,319,4,315,0.7379549910515781,0.012539184952978056,0.7254158060986001,0.7254158060986001,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external
1,0.1,0.2,3810,125,3685,0.16122926366527326,0.03280839895013123,0.12842086471514202,0.12842086471514202,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
2,0.2,0.30000000000000004,1704,65,1639,0.24158288382997176,0.03814553990610329,0.20343734392386847,0.20343734392386847,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
3,0.30000000000000004,0.4,864,27,837,0.346493027407116,0.03125,0.315243027407116,0.315243027407116,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
4,0.4,0.5,596,15,581,0.4479659327953509,0.025167785234899327,0.4227981475604516,0.4227981475604516,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
5,0.5,0.6000000000000001,520,28,492,0.5499691203865522,0.05384615384615385,0.49612296654039834,0.49612296654039834,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,503,16,487,0.6515533813575137,0.03180914512922465,0.6197442362282891,0.6197442362282891,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
7,0.7000000000000001,0.8,334,9,325,0.7344023683751503,0.02694610778443114,0.7074562605907191,0.7074562605907191,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external
1,0.1,0.2,3851,124,3727,0.16558370675157424,0.03219942871981304,0.1333842780317612,0.1333842780317612,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
2,0.2,0.30000000000000004,1786,74,1712,0.24147434793581432,0.04143337066069429,0.20004097727512005,0.20004097727512005,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
3,0.30000000000000004,0.4,816,27,789,0.3464610563282381,0.03308823529411765,0.31337282103412045,0.31337282103412045,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
4,0.4,0.5,587,23,564,0.44831157800106697,0.039182282793867124,0.4091292952071999,0.4091292952071999,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
5,0.5,0.6000000000000001,453,16,437,0.5472812369743624,0.03532008830022075,0.5119611486741417,0.5119611486741417,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,462,12,450,0.6506846741127353,0.025974025974025976,0.6247106481387094,0.6247106481387094,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
7,0.7000000000000001,0.8,376,9,367,0.7389964139117348,0.023936170212765957,0.7150602436989688,0.7150602436989688,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external
1,0.1,0.2,5822,189,5633,0.16539801019076472,0.03246307110958434,0.13293493908118037,0.13293493908118037,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
2,0.2,0.30000000000000004,941,35,906,0.24038614941202516,0.03719447396386823,0.20319167544815692,0.20319167544815692,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
3,0.30000000000000004,0.4,401,15,386,0.3466179306888148,0.03740648379052369,0.3092114468982911,0.3092114468982911,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
4,0.4,0.5,350,16,334,0.4474926919052084,0.045714285714285714,0.4017784061909227,0.4017784061909227,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
5,0.5,0.6000000000000001,618,24,594,0.5620039300157382,0.038834951456310676,0.5231689785594276,0.5231689785594276,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,199,6,193,0.6027766961333629,0.03015075376884422,0.5726259423645187,0.5726259423645187,external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external
1,0.1,0.2,5747,178,5569,0.1602009719612865,0.030972681398990776,0.1292282905622957,0.1292282905622957,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
2,0.2,0.30000000000000004,937,41,896,0.23998500070399753,0.04375667022411953,0.196228330479878,0.196228330479878,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
3,0.30000000000000004,0.4,423,15,408,0.34522518085995324,0.03546099290780142,0.3097641879521518,0.3097641879521518,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
4,0.4,0.5,352,13,339,0.45007139385645123,0.036931818181818184,0.41313957567463305,0.41313957567463305,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
5,0.5,0.6000000000000001,499,27,472,0.5558256992828198,0.05410821643286573,0.501717482849954,0.501717482849954,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,373,11,362,0.6128294164032828,0.029490616621983913,0.5833387997812989,0.5833387997812989,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external
