prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins
external_model_grid_predictions,catboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3022306601330648,0.26802108145103387,0.2680210814510338,0.5070404735000005,0.11600969351784567,0.4028175242161593,10,6
external_model_grid_predictions,lightgbm,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.24924603034715986,0.21503645166512889,0.21503645166512886,0.681328199776308,0.09897131202266989,0.35158285960433294,10,7
external_model_grid_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28977832130400366,0.2555687426219727,0.2555687426219727,0.6772338402135528,0.1162659414189607,0.39710715763877913,10,7
external_model_grid_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2999486723834632,0.2657390937014322,0.2657390937014322,0.5548974076308092,0.11498939038233004,0.4006702868250605,10,6
external_model_grid_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.31455333708867417,0.2803437584066432,0.2803437584066432,0.4926109650196515,0.11874560786279079,0.4135170062705907,10,6
external_model_grid_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29718433644260805,0.2629747577605771,0.26297475776057705,0.5408030109578061,0.11350473447207846,0.39705155834089456,10,6
external_model_grid_predictions,logistic_regression,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.23644199158113574,0.20223241289910476,0.20223241289910474,0.5619397032116555,0.08454845393574144,0.3225005932833804,10,6
external_model_grid_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30524324701911876,0.2710336683370878,0.2710336683370878,0.6129098507874755,0.11883681447995198,0.4086301898256503,10,6
external_model_grid_predictions,logistic_regression,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2922492349117716,0.2580396562297407,0.2580396562297406,0.5674308951552295,0.11048176969619412,0.38935645827601273,10,7
external_model_grid_predictions,logistic_regression,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3187214757169859,0.28451189703495494,0.28451189703495494,0.5062109936446615,0.11509225252725755,0.4107957820421467,10,4
external_model_grid_predictions,logistic_regression,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.295540132420312,0.26133055373828107,0.2613305537382811,0.5287300255704253,0.1109150120105246,0.39174826578273847,10,7
external_model_grid_predictions,random_forest,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2848847746271638,0.2506751959451328,0.25067519594513277,0.49314497327516593,0.10203956224734188,0.37371686605459237,10,6
external_model_grid_predictions,random_forest,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30362904134591334,0.2694194626638824,0.26941946266388234,0.5489251462997509,0.11201089681286784,0.39792436265808084,10,6
external_model_grid_predictions,random_forest,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30793352647140393,0.273723947789373,0.2737239477893729,0.6248160024168152,0.1118241797395279,0.40063128159092265,10,6
external_model_grid_predictions,random_forest,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.31910474896559815,0.2848951702835672,0.28489517028356715,0.4738068798241761,0.11680964632528504,0.4135386187980328,10,5
external_model_grid_predictions,random_forest,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3036734885428181,0.26946390986078717,0.26946390986078717,0.6023914322496389,0.11009245611628533,0.3958907274181202,10,6
external_model_grid_predictions,xgboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.26541355184411886,0.23120397316208788,0.2312039731620879,0.6670226918239953,0.1064869870620157,0.3693080216136242,10,8
external_model_grid_predictions,xgboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29856932903456657,0.2643597503525356,0.2643597503525356,0.6023393723110255,0.11934484853753967,0.40555220242065665,10,8
external_model_grid_predictions,xgboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30196183346739536,0.2677522547853644,0.26775225478536435,0.5076349422887328,0.11602534652184537,0.40279175022693636,10,6
external_model_grid_predictions,xgboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3205852315245462,0.28637565284251526,0.28637565284251526,0.4637702497964341,0.12003606144503438,0.4189658568254478,10,5
external_model_grid_predictions,xgboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29777958477681626,0.2635700060947853,0.26357000609478526,0.4934375356340108,0.11317246284038875,0.39662756271411004,10,6
quality_weighted_fusion_predictions,,,,quality_weighted_auprc,,,test,318,103,215,0.3238993710691824,0.3307348714923755,0.0068355004231931416,0.1503736522927272,0.5268478113766681,0.18954298523161822,0.5644110543586496,10,3
